pet_type,name,gender,age,neutered,breed,color,chip_number,address
cat,Willow,Female,3,No,Norwegian Forest Cat,Blue,981000000052,"Guramishvili Ave 53, Tbilisi, Georgia"
cat,Oliver,Male,9,Yes,Persian,Orange,981000000053,"Abashidze St 27, Tbilisi, Georgia"
cat,Bonnie,Female,18,Yes,Domestic Longhair,Calico,981000000054,"Guramishvili Ave 95, Tbilisi, Georgia"
cat,Simba,Male,12,Yes,Scottish Fold,Blue,981000000055,"Guramishvili Ave 75, Tbilisi, Georgia"
cat,Leo,Male,2,No,Ragdoll,Chocolate Point,981000000056,"Kazbegi Ave 24, Tbilisi, Georgia"
cat,Loki,Male,14,Yes,Persian,Pink,981000000057,"Guramishvili Ave 71, Tbilisi, Georgia"
cat,Oscar,Male,6,No,Abyssinian,Gray,981000000058,"Guramishvili Ave 75, Tbilisi, Georgia"
cat,Smokey,Male,13,Yes,Maine Coon,Black,981000000059,"Rustaveli Ave 29, Tbilisi, Georgia"
cat,Tiger,Male,12,No,Norwegian Forest Cat,Spotted,981000000060,"Guramishvili Ave 71, Tbilisi, Georgia"
cat,Oliver,Male,13,No,Domestic Shorthair,Brown Tabby,981000000061,"Guramishvili Ave 53, Tbilisi, Georgia"
cat,Smokey,Male,13,No,Persian,Ruddy,981000000062,"Rustaveli Ave 12, Tbilisi, Georgia"
cat,Smokey,Male,9,Yes,Maine Coon,Silver,981000000063,"Guramishvili Ave 95, Tbilisi, Georgia"
cat,Freya,Female,14,Yes,Domestic Longhair,Blue Point,981000000064,"Chavchavadze Ave 35, Tbilisi, Georgia"
cat,Smokey,Male,1,Yes,British Shorthair,Calico,981000000065,"Abashidze St 13, Tbilisi, Georgia"
cat,Lily,Female,11,Yes,Domestic Shorthair,Blue Point,981000000066,"Abashidze St 27, Tbilisi, Georgia"
cat,Tilly,Female,11,No,Ragdoll,Calico,981000000067,"Kazbegi Ave 11, Tbilisi, Georgia"
cat,Bonnie,Female,14,No,Maine Coon,Brown Tabby,981000000068,"Marjanishvili St 21, Tbilisi, Georgia"
cat,Pepper,Male,13,Yes,Bombay,Seal Point,981000000069,"Guramishvili Ave 23, Tbilisi, Georgia"
cat,Misty,Female,11,No,Abyssinian,Silver,981000000070,"Freedom Square 102, Tbilisi, Georgia"
cat,Misty,Female,6,Yes,Scottish Fold,Brown Spotted,981000000071,"Guramishvili Ave 23, Tbilisi, Georgia"
cat,Lily,Female,10,Yes,Norwegian Forest Cat,Tabby,981000000072,"Kazbegi Ave 24, Tbilisi, Georgia"
cat,Oliver,Male,16,Yes,British Shorthair,Tabby,981000000073,"Freedom Square 102, Tbilisi, Georgia"
cat,Saffron,Female,16,No,Bengal,Black/White,981000000074,"Guramishvili Ave 71, Tbilisi, Georgia"
cat,Oliver,Male,14,Yes,Turkish Angora,Black,981000000075,"Freedom Square 54, Tbilisi, Georgia"
cat,Bella,Female,4,No,Scottish Fold,Tabby,981000000076,"Marjanishvili St 43, Tbilisi, Georgia"
cat,Tilly,Female,11,No,Scottish Fold,Brown,981000000077,"Guramishvili Ave 27, Tbilisi, Georgia"
cat,Bonnie,Female,16,No,Sphynx,Orange Tabby,981000000078,"Guramishvili Ave 53, Tbilisi, Georgia"
cat,Smokey,Male,16,Yes,Turkish Angora,Ruddy,981000000079,"Guramishvili Ave 53, Tbilisi, Georgia"
cat,Lily,Female,8,No,Domestic Longhair,Seal Point,981000000080,"Guramishvili Ave 107, Tbilisi, Georgia"
cat,Bonnie,Female,5,Yes,Siamese,Orange,981000000081,"Chavchavadze Ave 35, Tbilisi, Georgia"
cat,Tiger,Male,14,No,Siamese,Calico,981000000082,"Vake Park Area 19, Tbilisi, Georgia"
cat,Ruby,Female,14,No,British Shorthair,Brown Tabby,981000000083,"Guramishvili Ave 18, Tbilisi, Georgia"
cat,Moose,Male,1,No,Abyssinian,Brown Spotted,981000000084,"Guramishvili Ave 23, Tbilisi, Georgia"
cat,Ruby,Female,8,No,Scottish Fold,Pink,981000000085,"Guramishvili Ave 71, Tbilisi, Georgia"
cat,Ruby,Female,13,No,Sphynx,Gray,981000000086,"Marjanishvili St 21, Tbilisi, Georgia"
cat,Cleo,Female,5,Yes,Norwegian Forest Cat,Spotted,981000000087,"Chavchavadze Ave 35, Tbilisi, Georgia"
cat,Milo,Male,5,No,Domestic Shorthair,Calico,981000000088,"Freedom Square 54, Tbilisi, Georgia"
cat,Smokey,Male,7,No,Abyssinian,Blue Point,981000000089,"Guramishvili Ave 107, Tbilisi, Georgia"
cat,Princess,Female,9,Yes,Ragdoll,Calico,981000000090,"Rustaveli Ave 29, Tbilisi, Georgia"
cat,Storm,Male,8,Yes,British Shorthair,Chocolate Point,981000000091,"Rustaveli Ave 44, Tbilisi, Georgia"
cat,Oliver,Male,1,Yes,Bengal,Brown Tabby,981000000092,"Guramishvili Ave 71, Tbilisi, Georgia"
cat,Biscuit,Male,7,No,Domestic Shorthair,Black,981000000093,"Kazbegi Ave 11, Tbilisi, Georgia"
cat,Freya,Female,4,Yes,Maine Coon,Brown,981000000094,"Guramishvili Ave 23, Tbilisi, Georgia"
cat,Moose,Male,13,No,British Shorthair,Seal Point,981000000095,"Kazbegi Ave 11, Tbilisi, Georgia"
cat,Milo,Male,4,No,Bombay,Tabby,981000000096,"Marjanishvili St 21, Tbilisi, Georgia"
cat,Moose,Male,12,No,Turkish Angora,Blue,981000000097,"Marjanishvili St 21, Tbilisi, Georgia"
cat,Lily,Female,1,No,Scottish Fold,Blue Point,981000000098,"Rustaveli Ave 29, Tbilisi, Georgia"
cat,Ziggy,Male,5,No,Persian,Spotted,981000000099,"Freedom Square 54, Tbilisi, Georgia"
cat,Bambi,Female,16,No,Turkish Angora,Pink,981000000100,"Guramishvili Ave 75, Tbilisi, Georgia"
